,sentimentr_jockersrinker,sentimentr_jockers,sentimentr_huliu,sentimentr_nrc,sentimentr_senticnet,sentimentr_sentiword,sentimentr_loughran_mcdonald,sentimentr_socal_google
25447,0.0,0.0,0.0,0.0,0.06439875775199393,0.0,0.0,0.0
25448,0.4082482904638631,0.0,0.4082482904638631,0.0,0.05633826408401311,0.10206207261596577,0.0,0.0
25449,0.0,0.0,0.0,0.0,0.5154,0.15,0.0,-0.10815485520000001
25450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25451,-0.3328201177351375,-0.3328201177351375,0.0,0.0,-0.23574758339572238,-0.24268133584853777,-0.2773500981126146,0.0
25452,0.0,0.0,0.0,0.0,-0.1837117307087384,-0.012757759076995721,0.0,0.0
25453,0.282842712474619,0.282842712474619,0.35355339059327373,0.0,0.24678026663410504,-0.11048543456039804,0.0,-1.15930135456265
25454,0.0,0.0,0.0,0.0,0.335,0.0,0.0,0.0
25455,0.46188021535170065,0.46188021535170065,0.0,0.5773502691896258,0.3721022484927138,0.04209845712841022,0.0,0.8273410429058762
25456,0.24961508830135312,0.24961508830135312,0.0,0.49923017660270624,-0.30763672882651216,0.45808991204933514,0.49923017660270624,0.0
25457,0.0,0.0,0.0,0.0,0.06027536810339694,0.0,0.0,0.0
25458,-0.33541019662496846,-0.33541019662496846,-0.4472135954999579,-0.4472135954999579,-0.4472135954999579,-0.16770509831248423,0.0,0.14015834364321308
25459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25460,0.3,0.3,0.0,0.5,0.0,0.0,0.0,0.0
25461,-0.3,-0.3,-0.5,0.0,0.04949999999999999,0.34375,0.0,0.0
25462,-0.1386750490563073,-0.1386750490563073,-0.2773500981126146,0.0,-0.06961487462626625,0.07800471509417285,0.0,0.08692251477124505
25463,0.0,0.0,0.0,0.0,0.03921224298608792,0.0856450199628936,0.0,0.0
25464,0.0,0.0,0.0,0.0,0.36811093524186816,-0.00015033444857573885,0.0,0.0
25465,0.0,0.0,0.0,0.2886751345948129,0.6954183992389043,-0.20748525299002177,0.0,0.0
